Video_path,Label
public_test/videos/342,1
public_test/videos/705,0
public_test/videos/1402,1
public_test/videos/1045,0
public_test/videos/1798,0
public_test/videos/1346,1
public_test/videos/592,1
public_test/videos/406,0
public_test/videos/1792,1
public_test/videos/740,1
public_test/videos/1537,0
public_test/videos/370,0
public_test/videos/293,0
public_test/videos/647,0
public_test/videos/57,1
public_test/videos/174,0
public_test/videos/1744,0
public_test/videos/880,0
public_test/videos/1643,1
public_test/videos/190,0
public_test/videos/1836,1
public_test/videos/1151,1
public_test/videos/1662,1
public_test/videos/935,1
public_test/videos/581,0
public_test/videos/1258,0
public_test/videos/1355,0
public_test/videos/486,1
public_test/videos/1686,1
public_test/videos/832,0
public_test/videos/387,0
public_test/videos/1187,1
public_test/videos/724,1
public_test/videos/450,1
public_test/videos/1310,0
public_test/videos/1284,1
public_test/videos/49,1
public_test/videos/4,1
public_test/videos/184,1
public_test/videos/527,1
public_test/videos/34,0
public_test/videos/160,0
public_test/videos/1180,0
public_test/videos/214,1
public_test/videos/364,1
public_test/videos/412,0
public_test/videos/95,1
public_test/videos/1255,0
public_test/videos/158,0
public_test/videos/226,0
public_test/videos/616,1
public_test/videos/661,0
public_test/videos/766,1
public_test/videos/1846,0
public_test/videos/1566,0
public_test/videos/1511,0
public_test/videos/919,1
public_test/videos/1867,1
public_test/videos/300,1
public_test/videos/377,0
public_test/videos/1883,1
public_test/videos/1440,0
public_test/videos/62,0
public_test/videos/1132,0
public_test/videos/1048,1
public_test/videos/1496,0
public_test/videos/1502,0
public_test/videos/696,1
public_test/videos/672,1
public_test/videos/1405,1
public_test/videos/708,0
public_test/videos/235,1
public_test/videos/338,1
public_test/videos/1708,1
public_test/videos/828,1
public_test/videos/925,0
public_test/videos/1338,1
public_test/videos/1332,0
public_test/videos/132,1
public_test/videos/1678,1
public_test/videos/496,1
public_test/videos/1595,1
public_test/videos/1571,1
public_test/videos/1506,1
public_test/videos/1141,0
public_test/videos/1393,1
public_test/videos/437,0
public_test/videos/917,1
public_test/videos/960,0
public_test/videos/867,1
public_test/videos/1747,1
public_test/videos/23,1
public_test/videos/100,1
public_test/videos/397,1
public_test/videos/1439,1
public_test/videos/566,1
public_test/videos/1685,0
public_test/videos/121,1
public_test/videos/1616,0
public_test/videos/228,1
public_test/videos/1481,0
public_test/videos/762,0
public_test/videos/786,0
public_test/videos/1586,0
public_test/videos/1022,1
public_test/videos/358,0
public_test/videos/1287,1
public_test/videos/47,0
public_test/videos/979,1
public_test/videos/523,1
public_test/videos/1723,0
public_test/videos/973,1
public_test/videos/1214,1
public_test/videos/0,1
public_test/videos/1527,0
public_test/videos/289,1
public_test/videos/1800,1
public_test/videos/757,0
public_test/videos/1753,1
public_test/videos/187,0
public_test/videos/1387,0
public_test/videos/169,1
public_test/videos/1122,1
public_test/videos/1155,0
public_test/videos/1512,1
public_test/videos/1462,1
public_test/videos/1682,1
public_test/videos/841,0
public_test/videos/482,0
public_test/videos/516,1
public_test/videos/466,0
public_test/videos/411,0
public_test/videos/488,1
public_test/videos/634,1
public_test/videos/1079,1
public_test/videos/733,1
public_test/videos/1864,1
public_test/videos/1299,1
public_test/videos/884,0
public_test/videos/983,1
public_test/videos/1471,0
public_test/videos/1495,0
public_test/videos/776,1
public_test/videos/578,1
public_test/videos/1348,1
public_test/videos/1335,1
public_test/videos/178,0
public_test/videos/1632,1
public_test/videos/542,1
public_test/videos/1638,0
public_test/videos/981,1
public_test/videos/1208,1
public_test/videos/51,1
public_test/videos/1291,0
public_test/videos/1305,0
public_test/videos/206,1
public_test/videos/271,0
public_test/videos/731,1
public_test/videos/1677,0
public_test/videos/1600,0
public_test/videos/400,1
public_test/videos/1247,1
public_test/videos/507,1
public_test/videos/234,0
public_test/videos/790,1
public_test/videos/703,0
public_test/videos/1133,0
public_test/videos/1049,0
public_test/videos/1316,0
public_test/videos/901,1
public_test/videos/722,1
public_test/videos/286,0
public_test/videos/318,1
public_test/videos/1062,0
public_test/videos/215,1
public_test/videos/381,0
public_test/videos/843,1
public_test/videos/153,0
public_test/videos/159,0
public_test/videos/933,1
public_test/videos/1613,1
public_test/videos/1847,0
public_test/videos/1589,1
public_test/videos/660,0
public_test/videos/250,1
public_test/videos/1560,0
public_test/videos/1517,0
public_test/videos/760,1
public_test/videos/717,1
public_test/videos/683,0
public_test/videos/689,0
public_test/videos/1764,0
public_test/videos/1259,1
public_test/videos/123,1
public_test/videos/77,1
public_test/videos/1224,0
public_test/videos/1780,0
public_test/videos/1525,0
public_test/videos/315,0
public_test/videos/212,0
public_test/videos/368,1
public_test/videos/1558,1
public_test/videos/1455,0
public_test/videos/188,1
public_test/videos/876,0
public_test/videos/1261,0
public_test/videos/38,0
public_test/videos/1474,1
public_test/videos/64,1
public_test/videos/1700,0
public_test/videos/857,1
public_test/videos/500,0
public_test/videos/1885,0
public_test/videos/1001,1
public_test/videos/201,0
public_test/videos/1092,1
public_test/videos/1536,1
public_test/videos/1272,0
public_test/videos/881,1
public_test/videos/962,1
public_test/videos/1745,1
public_test/videos/545,1
public_test/videos/1648,1
public_test/videos/21,0
public_test/videos/648,0
public_test/videos/1545,0
public_test/videos/1102,0
public_test/videos/278,0
public_test/videos/302,0
public_test/videos/1005,1
public_test/videos/1442,1
public_test/videos/861,1
public_test/videos/966,1
public_test/videos/1276,0
public_test/videos/1201,1
public_test/videos/1298,0
public_test/videos/330,0
public_test/videos/799,0
public_test/videos/777,1
public_test/videos/607,1
public_test/videos/853,0
public_test/videos/1239,1
public_test/videos/60,1
public_test/videos/1334,0
public_test/videos/17,0
public_test/videos/149,1
public_test/videos/474,1
public_test/videos/1451,0
public_test/videos/1426,0
public_test/videos/626,1
public_test/videos/311,0
public_test/videos/872,1
public_test/videos/552,1
public_test/videos/162,0
public_test/videos/224,1
public_test/videos/1414,1
public_test/videos/1519,1
public_test/videos/1784,0
public_test/videos/1220,0
public_test/videos/1327,0
public_test/videos/460,1
public_test/videos/1227,0
public_test/videos/830,1
public_test/videos/1159,0
public_test/videos/1023,1
public_test/videos/1514,0
public_test/videos/1563,0
public_test/videos/714,0
public_test/videos/680,0
public_test/videos/118,1
public_test/videos/972,0
public_test/videos/528,1
public_test/videos/891,1
public_test/videos/522,0
public_test/videos/1755,1
public_test/videos/1268,1
public_test/videos/266,0
public_test/videos/1116,1
public_test/videos/1806,0
public_test/videos/479,1
public_test/videos/959,0
public_test/videos/574,0
public_test/videos/1249,1
public_test/videos/139,1
public_test/videos/1709,1
public_test/videos/404,0
public_test/videos/1673,1
public_test/videos/953,0
public_test/videos/707,1
public_test/videos/770,1
public_test/videos/677,0
public_test/videos/794,0
public_test/videos/1499,0
public_test/videos/1295,0
public_test/videos/882,1
public_test/videos/1392,0
public_test/videos/1271,1
public_test/videos/638,0
public_test/videos/202,1
public_test/videos/1178,1
public_test/videos/1548,1
